,Unnamed: 0,district,rooms,size,level,max_levels,price
0,0,Do'stlik,3,57.0,4,4,52000.0
1,1,Toshloq,2,52.0,4,5,56000.0
2,2,Ittifoq,2,42.0,4,4,37000.0
3,3,Ittifoq,3,65.0,1,4,49500.0
4,4,Ittifoq,3,70.0,3,5,55000.0
5,5,Ittifoq,1,28.0,1,4,25500.0
6,6,Ittifoq,1,30.0,2,4,21200.0
7,7,Toshloq,2,32.0,5,5,20000.0
8,8,Bunyodkor,2,51.0,3,4,26200.0
9,9,Ittifoq,1,30.0,1,4,22200.0
10,10,Bunyodkor,2,30.0,2,5,24200.0
11,11,Ittifoq,3,67.0,2,5,30200.0
12,12,Ittifoq,1,30.0,2,4,21200.0
13,13,Ittifoq,1,30.0,2,4,21200.0
14,14,Ittifoq,1,30.0,2,4,21200.0
15,15,Ittifoq,1,35.0,1,5,22500.0
16,16,Ittifoq,1,43.0,4,4,22500.0
17,17,Ittifoq,2,51.0,2,4,21200.0
18,18,Zilol,3,65.0,1,4,32500.0
19,19,Ittifoq,2,51.0,2,4,22200.0
20,20,Ittifoq,2,51.0,2,4,24200.0
21,21,Toshloq,4,90.0,5,5,45000.0
22,22,Ittifoq,4,80.0,3,4,56000.0
23,23,Uchtepa,2,70.0,5,5,47000.0
24,24,Zilol,3,69.0,1,4,49900.0
25,25,Olmazor,3,80.0,2,4,76000.0
26,26,Bunyodkor,3,96.0,3,4,65000.0
27,27,Bunyodkor,4,76.0,4,4,47500.0
28,28,Bunyodkor,2,45.0,4,5,30000.0
29,29,Ittifoq,1,27.0,3,4,32000.0
30,30,Bunyodkor,2,65.0,3,9,44000.0
31,31,Ittifoq,2,64.0,3,4,56500.0
32,32,Ittifoq,1,42.0,5,9,35000.0
33,33,Ittifoq,1,26.0,2,4,23500.0
34,34,Bunyodkor,4,76.0,5,5,60500.0
35,35,Ittifoq,3,80.0,2,4,68000.0
36,36,Ittifoq,3,72.0,5,5,41500.0
37,37,Bunyodkor,4,100.0,3,12,55000.0
38,38,Bunyodkor,3,65.0,4,4,44000.0
39,39,Bunyodkor,4,80.0,3,4,52500.0
40,40,Bunyodkor,3,72.0,6,9,43000.0
41,41,Olmazor,2,65.0,1,4,80000.0
42,42,Toshloq,2,63.0,1,5,42000.0
43,43,Toshloq,2,48.0,5,9,23000.0
44,44,Do'stlik,3,70.0,3,4,47000.0
45,45,Toshloq,3,102.0,7,12,88784.0
46,46,Bunyodkor,4,78.0,2,4,65000.0
47,47,Ittifoq,4,100.0,1,4,97000.0
48,48,Ittifoq,1,34.0,1,4,28500.0
49,49,Ittifoq,2,42.0,2,4,34500.0
50,50,Bunyodkor,4,80.0,4,5,51000.0
51,51,Bunyodkor,3,90.0,1,12,51000.0
52,52,Ittifoq,2,45.0,2,4,48000.0
53,53,Ittifoq,3,70.0,5,5,40000.0
54,54,Ittifoq,4,96.0,7,9,67000.0
55,55,Bunyodkor,4,80.0,4,5,68000.0
56,56,Bunyodkor,2,63.0,1,4,40500.0
57,57,Bunyodkor,2,56.0,4,5,54000.0
58,58,Bunyodkor,2,52.0,1,4,36000.0
59,59,Bunyodkor,3,98.0,2,4,68000.0
60,60,Ittifoq,3,96.0,9,9,63000.0
61,61,Шайхантахурский,4,93.0,4,4,63500.0
62,62,Шайхантахурский,2,60.0,9,9,49500.0
63,63,Ittifoq,5,82.0,4,4,70000.0
64,64,Bunyodkor,5,120.0,9,9,52000.0
65,65,Bunyodkor,4,110.0,3,3,91000.0
66,66,Ittifoq,4,95.0,2,4,83000.0
67,67,Bunyodkor,2,56.0,1,4,40500.0
68,68,Ittifoq,3,68.0,3,4,48000.0
69,69,Ulugʻbek,2,57.0,3,4,42000.0
70,70,Uchtepa,1,46.0,11,11,19765.0
71,71,Ittifoq,2,45.0,4,4,34500.0
72,72,Do'stlik,2,40.0,1,9,40000.0
73,73,Zilol,3,95.0,5,5,50000.0
74,74,Do'stlik,2,53.0,1,9,68000.0
75,75,Ulugʻbek,2,72.0,4,9,41500.0
76,76,Zilol,3,65.0,4,5,41500.0
77,77,Do'stlik,4,82.0,1,4,86000.0
78,78,Ittifoq,1,42.0,3,9,25500.0
79,79,Ittifoq,2,54.0,4,4,31500.0
80,80,Ittifoq,1,42.0,1,4,26500.0
81,81,Bunyodkor,1,20.0,3,9,14500.0
82,82,Ittifoq,2,45.0,4,4,45000.0
83,83,Ittifoq,1,46.0,2,5,30000.0
84,84,Ittifoq,2,50.0,2,4,34500.0
85,85,Ittifoq,1,36.0,2,4,27000.0
86,86,Bunyodkor,4,80.0,6,9,59500.0
87,87,Bunyodkor,3,72.0,3,9,48000.0
88,88,Bunyodkor,4,78.0,5,5,47299.0
89,89,Ittifoq,2,46.0,4,5,37000.0
90,90,Ittifoq,2,60.0,2,4,38000.0
91,91,Ulugʻbek,2,58.0,5,9,29500.0
92,92,Ittifoq,2,70.0,2,7,56000.0
93,93,Toshloq,2,68.0,6,9,45000.0
94,94,Bunyodkor,4,100.0,3,5,61500.0
95,95,Ittifoq,3,68.0,5,5,46500.0
96,96,Bunyodkor,3,70.0,4,12,51000.0
97,97,Ittifoq,3,90.0,5,9,58400.0
98,98,Ittifoq,3,60.0,5,5,47000.0
99,99,Bunyodkor,4,80.0,5,5,52500.0
100,100,Bunyodkor,3,74.0,3,5,50000.0
101,101,Ittifoq,2,48.0,2,5,41500.0
102,102,Ittifoq,4,94.0,9,9,45000.0
103,103,Bunyodkor,3,65.0,4,9,47500.0
104,104,Ittifoq,4,85.0,3,4,52500.0
105,105,Bunyodkor,1,42.0,5,5,26000.0
106,106,Ittifoq,4,110.0,3,4,105000.0
107,107,Bunyodkor,3,70.0,4,4,42000.0
108,108,Ittifoq,3,68.0,2,5,53500.0
109,109,Toshloq,2,48.0,5,9,23000.0
110,110,Uchtepa,1,20.0,3,3,12500.0
111,111,Olmazor,3,110.0,4,7,107000.0
112,112,Ittifoq,2,46.0,3,4,35000.0
113,113,Ittifoq,4,125.0,5,5,70000.0
114,114,Zilol,2,72.0,18,19,55000.0
